Beat,Lane,Type,,,,
8.5,0,bat,,,,Drum Intro
9.5,3,spray,,,,
10.25,0,bat,,,,
10.75,0,bat,,,,
11,0,bat,,,,
11.5,3,spray,,,,
12.25,3,spray,,,,
12.5,2,swat,,,,
13.5,1,stomp ,,,,
14.25,2,swat,,,,
14.75,2,swat,,,,
15,2,swat,,,,
15.5,1,stomp,,,,
16.25,2,swat,,,,
16.5,0,bat,,,,
17.5,3,spray,,,,
18.25,0,stomp,,,,
18.75,0,stomp,,,,
19,0,stomp,,,,
19.5,3,spray,,,,
20,3,stomp,,,,
20.5,2,bat,,,,
21.5,1,bat,,,,
22.25,2,bat,,,,
22.75,2,spray,,,,
23,2,swat,,,,
23.5,1,stomp,,,,
24,1,stomp,,,,
24.5,0,stomp,,,,
25,3,stomp,,,,
25.5,0,swat,,,,
26,0,stomp,,,,
26.5,3,bat,,,,
27,0,bat,,,,
28,1,bat,,,,
28.5,1,stomp,,,,
29,0,stomp,,,,
29.5,2,spray,,,,
29.75,0,stomp,,,,
30,2,swat,,,,
32,1,spray,,,,
32.5,1,bat,,,,
33.5,2,bat,,,,
34.5,3,bat,,,,
35.5,2,stomp,,,,
36,2,bat,,,,
36.5,2,bat,,,,
38,1,stomp,,,,
41,0,swat,,,,
41.4,0,bat,,,,
42,2,bat,,,,
42.5,2,spray,,,,
43,2,bat,,,,
44,1,bat,,,,
44.5,1,bat,,,,
45,1,bat,,,,
45.5,3,bat,,,,
45.75,0,bat,,,,
46,3,bat,,,,
48,1,spray,,,,
48.5,1,stomp,,,,
49.5,2,bat,,,,
50.5,1,swat,,,,
51,2,stomp,,,,
52,3,swat,,,,
54,0,bat,,,,
56.5,1,bat,,,,
57,2,stomp,,,,
57.5,1,bat,,,,
58,3,swat,,,,
58.5,0,pray,,,,
59,3,bat,,,,
60,1,spray,,,,
60.5,2,stomp,,,,
61,1,spray,,,,
61.5,0,swat,,,,
61.75,3,bat,,,,
62,0,sray,,,,
64,2,stomp,,,,
64.5,0,bat,,,,
65.5,3,stomp,,,,
66.5,1,bat,,,,
67.5,3,bat,,,,
68,3,bat,,,,
68.5,1,stomp,,,,
70,0,stomp,,,,
73,2,pray,,,,
73.5,2,stomp,,,,
74,1,swat,,,,
74.5,2,spray,,,,
75,3,bat,,,,
76,3,bat,,,,
76.5,3,bat,,,,
77,0,stomp,,,,
77.5,3,bat,,,,
77.75,0,bat,,,,
78,1,stomp,,,,
80,2,swat,,,,
80.5,0,bat,,,,
81.5,3,bat,,,,
82.5,1,spray,,,,
83,0,bat,,,,
84,3,bat,,,,
86,0,bat,,,,
88.5,3,bat,,,,
89,2,bat,,,,
91,1,bat,,,,
91.75,3,bat,,,,
92.5,0,spray,,,,
93.25,1,stomp,,,,
94,2,bat,,,,
96,2,swat,,,,
96.25,2,stomp,,,,
96.5,1,swat,,,,
99,3,bat,,,,
99.75,0,bat,,,,
100.5,0,stomp,,,,
101,1,bat,,,,
101.5,1,swat,,,,
101.75,3,spray,,,,
102,1,bat,,,,
104,1,spray,,,,
104.25,3,stomp,,,,
104.5,3,spray,,,,
105.25,0,swat,,,,
106,2,bat,,,,
107,1,spray,,,,
107.75,3,stomp,,,,
108.5,0,bat,,,,
110,0,stop,,,,
112,0,spray,,,,
112.25,2,spray,,,,
112.5,3,swat,,,,
114,2,sray,,,,
115,1,bat,,,,
115.75,3,spray,,,,
116.5,0,swat,,,,
118,1,bat,,,,
121,2,bat,,,,
121.5,3,bat,,,,
122,1,swat,,,,
122.5,2,stomp,,,,
124,1,stomp,,,,
124.5,3,swat,,,,
125,0,swat,,,,
125.5,1,stomp,,,,
126,2,swat,,,,
128,1,bat,,,,
128.5,0,swat,,,,
129,3,bat,,,,
129.5,3,swat,,,,
130,1,stomp,,,,
132,2,spray,,,,
132.5,1,bat,,,,
133,0,bat,,,,
133.5,3,spray,,,,
134,1,stomp,,,,
134.5,2,swat,,,,
135,1,swat,,,,
135.5,0,bat,,,,
136,3,bat,,,,
137,1,spray,,,,
137.5,2,bat,,,,
138,1,spray,,,,
138.5,1,bat,,,,
140,0,bat,,,,
140.5,1,stomp,,,,
141,2,sat,,,,
141.5,3,spray,,,,
142,1,bat,,,,
144,3,stomp,,,,
144.5,1,stomp,,,,
145,3,spray,,,,
145.5,1,spray,,,,
146,0,swat,,,,
148,2,swat,,,,
148.5,1,bat,,,,
149,0,spray,,,,
149.5,1,stomp,,,,
150,2,swat,,,,
150.5,3,spray,,,,
151,3,bat,,,,
151.5,1,spray,,,,
152,2,bat,,,,
152.5,3,spray,,,,
155,1,bat,,,,
155.75,0,spray,,,,
156.5,3,stomp,,,,
159,1,stomp,,,,
159.75,2,spray,,,,
160.5,3,bat,,,,
163,0,stomp,,,,
163.75,1,swat,,,,
164.25,2,spray,,,,
164.75,1,bat,,,,
165.25,1,spray,,,,
165.75,1,bat,,,,
166.25,1,bat,,,,
166.75,3,bat,,,,
167.25,1,stomp,,,,
167.5,2,bat,,,,
168.25,1,spray,,,,
170.75,0,stomp,,,,
171.5,3,spray,,,,
172.25,1,stomp,,,,
174.25,2,bat,,,,
175.5,1,bat,,,,
176.25,1,spray,,,,
178.75,1,stomp,,,,
179.5,1,bat,,,,
180.25,3,swat,,,,
180.5,3,stomp,,,,
181,1,swat,,,,
181.5,3,bat,,,,
182,2,bat,,,,
182.25,3,bat,,,,
183,1,stomp,,,,
183.75,0,bat,,,,
